Query,Response
What are the common subset of principles underlying data privacy requirements?,"The common subset of principles includes lawfulness, fairness, and transparency; purpose limitation; data minimization; accuracy; storage limitation; cybersecurity (integrity and confidentiality); and accountability."
What cryptographic components do all Devices include?,"All Devices include a Device Attestation Certificate and private key, unique to that Device."
What happens when neither side of a BTP session has data to send?,BTP packets will still be exchanged every send-acknowledgement interval due to acknowledgements generated by the receipt of previous data or stand-alone acknowledgement packets.
What does the CSRNonce field represent?,The CSRNonce field is used in the computation of the NOCSR Information.
How can a user arm the alarm system in Example 6?,"In Example 6, the user can arm the alarm system by using the EnableAction command."
What is the Standard Commissioning Flow?,"Devices are ready for commissioning by any Matter commissioner, start advertising automatically, and use standard pairing methods."
When should the AdminNodeID or AdminPasscodeID field be set?,"Exactly one of AdminNodeID and AdminPasscodeID should be set, depending on whether the change occurred via a CASE or PASE session; the other should be null."
What network types are suitable for Matter deployment?,"Any IPv6-bearing network, focusing on Ethernet, Wi-Fi, and Thread, to cover provisioning of these link layers and ensure certification testing is suitably bounded."
What cryptographic suite does Matter employ for confidentiality and integrity?,"Matter relies on a strong cryptographic suite, including AES in CCM mode with 128-bit keys for confidentiality and integrity, AES in CTR mode for protecting identifiers, SHA-256 for integrity, and ECC with the ""secp256r1"" curve for digital signatures and key exchanges."
Describe the GroupTable attribute.,"The GroupTable attribute provides read-only information about how a given logical Group ID maps to a particular set of endpoints, along with a name for the group."
What does the BatCommonDesignation Attribute indicate?,It indicates the ID of the common or colloquial designation of the battery.
How is the DNS-SD instance name constructed for operational discovery of Matter Nodes?,"The DNS-SD instance name for operational discovery is constructed from a 64-bit compressed Fabric identifier and a 64-bit Node identifier. These identifiers are expressed as fixed-length sixteen-character hexadecimal strings, encoded in ASCII (UTF-8) using capital letters, and separated by a hyphen. For example, the instance name for a Matter Node with specific fabric and node identifiers would be constructed as follows: 2906C908D115D362-8FC7772401CD0696. The uniqueness of this name within the local network namespace is ensured by selecting unique fabric and node identifiers [RFC 6762]."
